City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Nanortalik,60.1432,-45.2371,23.14,75,100,8.93,GL,overcast clouds
1,Puerto Ayora,-0.7393,-90.3518,68.56,96,99,4.0,EC,overcast clouds
2,Rikitea,-23.1203,-134.9692,77.92,75,65,7.58,PF,broken clouds
3,Kapaa,22.0752,-159.319,80.58,72,74,5.01,US,light rain
4,Onomichi,34.4167,133.2,49.89,56,9,7.58,JP,clear sky
5,Comodoro Rivadavia,-45.8667,-67.5,55.26,88,0,5.75,AR,clear sky
6,Mataura,-46.1927,168.8643,64.47,33,12,4.45,NZ,few clouds
7,Bredasdorp,-34.5322,20.0403,61.92,88,100,3.44,ZA,overcast clouds
8,Pangody,65.85,74.4859,-28.71,97,11,5.17,RU,few clouds
9,Zhuhai,22.2769,113.5678,65.05,68,20,23.02,CN,few clouds
10,Saldanha,-33.0117,17.9442,60.85,93,4,13.85,ZA,clear sky
11,New Norfolk,-42.7826,147.0587,77.67,23,0,3.47,AU,clear sky
12,Kavieng,-2.5744,150.7967,84.87,73,98,8.86,PG,light rain
13,Marawi,7.9986,124.2928,73.65,76,100,1.68,PH,overcast clouds
14,San Patricio,28.017,-97.5169,62.58,57,0,6.98,US,clear sky
15,Avarua,-21.2078,-159.775,73.45,94,75,5.75,CK,heavy intensity rain
16,Busselton,-33.65,115.3333,63.05,45,100,5.61,AU,overcast clouds
17,Cape Town,-33.9258,18.4232,64.81,81,0,3.0,ZA,clear sky
18,Bluff,-46.6,168.3333,64.8,69,20,10.94,NZ,few clouds
19,Vaini,-21.2,-175.2,86.16,79,20,11.5,TO,light rain
20,Vila Franca Do Campo,37.7167,-25.4333,56.19,56,100,15.3,PT,overcast clouds
21,Karratha,-20.7377,116.8463,96.85,18,0,6.46,AU,clear sky
22,Cockburn Town,21.4612,-71.1419,80.01,74,0,19.71,TC,clear sky
23,Meulaboh,4.1363,96.1285,77.23,88,100,2.17,ID,overcast clouds
24,Okoneshnikovo,54.8377,75.0834,9.59,92,100,10.16,RU,overcast clouds
25,Haines Junction,60.7522,-137.5108,-5.85,54,100,11.5,CA,overcast clouds
26,Korla,41.7597,86.1469,16.61,75,18,2.01,CN,few clouds
27,Vestmannaeyjar,63.4427,-20.2734,43.38,73,100,18.28,IS,overcast clouds
28,Castro,-24.7911,-50.0119,67.1,69,100,6.06,BR,overcast clouds
29,Bedele,8.456,36.353,50.72,47,100,2.17,ET,overcast clouds
30,Torbay,47.6666,-52.7314,42.58,90,90,27.63,CA,overcast clouds
31,Sawakin,19.1059,37.3321,80.31,72,18,10.58,SD,few clouds
32,Barrow,71.2906,-156.7887,-16.49,99,73,9.78,US,broken clouds
33,Kasungu,-13.0333,33.4833,70.63,66,0,10.89,MW,clear sky
34,Mangaratiba,-22.9597,-44.0406,72.46,88,100,5.79,BR,overcast clouds
35,Merauke,-8.4667,140.3333,79.63,84,100,19.15,ID,overcast clouds
36,Mehamn,71.0357,27.8492,27.36,94,100,12.57,NO,light snow
37,Kajaani,64.2273,27.7285,26.65,100,90,6.91,FI,overcast clouds
38,Mahebourg,-20.4081,57.7,73.69,88,75,4.61,MU,light rain
39,Hermanus,-34.4187,19.2345,62.91,89,91,5.53,ZA,overcast clouds
40,Amga,60.8953,131.9608,-17.79,97,100,2.01,RU,overcast clouds
41,Los Llanos De Aridane,28.6585,-17.9182,62.35,81,90,3.0,ES,overcast clouds
42,Ushuaia,-54.8,-68.3,42.46,61,75,25.32,AR,broken clouds
43,Tiksi,71.6872,128.8694,-18.17,99,100,2.26,RU,overcast clouds
44,Bonfim,3.0833,-59.95,77.99,80,90,8.79,BR,overcast clouds
45,Kruisfontein,-34.0033,24.7314,67.89,97,100,8.34,ZA,light rain
46,Qaanaaq,77.484,-69.3632,-3.5,70,11,4.47,GL,few clouds
47,Punta Arenas,-53.15,-70.9167,46.51,49,75,23.02,CL,broken clouds
48,Constitucion,-35.3333,-72.4167,53.2,77,0,15.46,CL,clear sky
49,Kiruna,67.8557,20.2251,25.72,93,90,5.75,SE,overcast clouds
50,Puerto Escondido,15.85,-97.0667,79.57,79,1,4.0,MX,clear sky
51,Hobart,-42.8794,147.3294,78.03,44,20,1.99,AU,few clouds
52,Tasiilaq,65.6145,-37.6368,32.04,88,100,6.87,GL,overcast clouds
53,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,90,19.57,CA,light snow
54,Tezu,27.9167,96.1667,58.93,52,0,3.44,IN,clear sky
55,Forquilhinha,-28.7475,-49.4722,73.63,99,18,1.63,BR,few clouds
56,Riyadh,24.6877,46.7219,48.34,31,28,5.12,SA,scattered clouds
57,Belem De Sao Francisco,-8.7539,-38.9658,80.83,55,99,25.99,BR,overcast clouds
58,Jeremie,18.65,-74.1167,77.47,75,0,2.66,HT,clear sky
59,Sesheke,-17.4759,24.2968,76.93,48,100,8.43,ZM,overcast clouds
60,Stephenville,32.2207,-98.2023,53.92,36,1,6.91,US,clear sky
61,Sao Filipe,14.8961,-24.4956,74.66,73,100,7.45,CV,overcast clouds
62,Ahuimanu,21.4447,-157.8378,78.85,68,20,9.22,US,few clouds
63,Xudat,41.631,48.681,42.94,81,35,5.39,AZ,scattered clouds
64,Namibe,-15.1961,12.1522,70.2,81,100,6.02,AO,overcast clouds
65,Touros,-5.1989,-35.4608,81.5,77,51,15.79,BR,broken clouds
66,Port Hardy,50.6996,-127.4199,37.76,93,75,6.91,CA,broken clouds
67,Kodiak,57.79,-152.4072,14.29,76,13,22.86,US,few clouds
68,Mirabad,30.4362,61.8383,48.79,50,0,7.34,AF,clear sky
69,Victoria,22.2855,114.1577,67.24,70,5,1.01,HK,clear sky
70,Bubaque,11.2833,-15.8333,80.96,72,6,12.86,GW,clear sky
71,Antibes,43.5624,7.1278,49.69,56,0,11.5,FR,clear sky
72,Maroantsetra,-15.4333,49.7333,72.07,90,100,3.67,MG,overcast clouds
73,Kalas,18.1667,74.8,68.18,60,48,5.23,IN,scattered clouds
74,Hlotse,-28.8718,28.045,59.76,88,100,3.83,LS,light rain
75,Nyurba,63.2842,118.3319,-22.11,97,100,6.6,RU,overcast clouds
76,Upernavik,72.7868,-56.1549,5.61,92,100,10.54,GL,overcast clouds
77,Nabire,-3.3667,135.4833,83.01,73,100,3.6,ID,light rain
78,Lorengau,-2.0226,147.2712,84.58,76,100,15.37,PG,moderate rain
79,Naze,28.3667,129.4833,59.92,68,100,16.11,JP,overcast clouds
80,Esperance,-33.8667,121.9,62.44,46,52,2.19,AU,broken clouds
81,Jamestown,42.097,-79.2353,39.72,53,0,10.0,US,clear sky
82,Airai,-8.9266,125.4092,73.71,61,86,0.65,TL,overcast clouds
83,Sioux Lookout,50.1001,-91.917,30.58,86,40,5.75,CA,scattered clouds
84,Chumikan,54.7183,135.315,7.75,90,100,14.61,RU,overcast clouds
85,Butaritari,3.0707,172.7902,82.49,72,31,15.35,KI,scattered clouds
86,Albany,42.6001,-73.9662,40.8,50,0,8.08,US,clear sky
87,Lethem,3.3803,-59.7968,78.15,80,93,10.71,GY,overcast clouds
88,Umm Kaddadah,13.6017,26.6876,68.85,34,2,11.21,SD,clear sky
89,Saint-Philippe,-21.3585,55.7679,76.59,74,39,10.85,RE,scattered clouds
90,Asau,46.4333,26.4,38.39,83,100,2.91,RO,overcast clouds
91,Bayan,46.0833,127.4,5.99,84,83,7.63,CN,broken clouds
92,Macheng,31.1783,115.0319,46.11,73,5,2.24,CN,clear sky
93,Atuona,-9.8,-139.0333,79.09,79,100,17.9,PF,overcast clouds
94,Havre,49.5833,0.3333,51.57,76,90,10.36,FR,overcast clouds
95,Kaitangata,-46.2817,169.8464,61.93,66,90,7.07,NZ,overcast clouds
96,Pangnirtung,66.1451,-65.7125,-4.99,70,63,7.56,CA,broken clouds
97,Narrabri,-30.3167,149.7833,80.53,50,0,5.75,AU,clear sky
98,Nanyang,32.9947,112.5328,40.66,57,4,3.27,CN,clear sky
99,Banikoara,11.2985,2.4386,74.91,17,94,4.61,BJ,overcast clouds
100,Maniitsoq,65.4167,-52.9,20.79,62,2,8.03,GL,clear sky
101,Ilulissat,69.2167,-51.1,2.48,89,58,5.41,GL,broken clouds
102,Lebu,-37.6167,-73.65,52.88,80,28,8.12,CL,scattered clouds
103,Dingle,10.9995,122.6711,81.88,81,28,11.7,PH,scattered clouds
104,Laguna,38.421,-121.4238,51.91,89,90,5.01,US,light rain
105,Houma,29.5958,-90.7195,55.0,77,84,1.01,US,broken clouds
106,Hilo,19.7297,-155.09,77.11,22,30,9.24,US,scattered clouds
107,Lavrentiya,65.5833,-171.0,-14.66,90,48,2.33,RU,scattered clouds
108,Bathsheba,13.2167,-59.5167,81.21,78,40,19.57,BB,scattered clouds
109,Isangel,-19.55,169.2667,87.91,74,75,8.05,VU,moderate rain
110,Mandalgovi,45.7625,106.2708,11.21,47,0,13.65,MN,clear sky
111,East London,-33.0153,27.9116,71.96,95,100,17.27,ZA,overcast clouds
112,Jacareacanga,-6.2222,-57.7528,74.52,96,100,2.64,BR,light rain
113,Naron,43.5167,-8.1528,51.67,82,15,5.61,ES,few clouds
114,Yellowknife,62.456,-114.3525,7.32,85,90,6.91,CA,light snow
115,Quatre Cocos,-20.2078,57.7625,73.51,71,22,12.28,MU,few clouds
116,Te Anau,-45.4167,167.7167,67.82,50,92,4.76,NZ,light rain
117,Khatanga,71.9667,102.5,-49.61,99,79,4.9,RU,broken clouds
118,Sitka,57.0531,-135.33,28.71,83,100,7.05,US,overcast clouds
119,Sept-Iles,50.2001,-66.3821,28.06,67,40,8.99,CA,scattered clouds
120,Ambulu,-8.345,113.6058,82.15,79,72,4.32,ID,broken clouds
121,Walvis Bay,-22.9575,14.5053,61.09,88,4,5.75,NA,clear sky
122,Zharkent,44.1628,80.0,27.37,44,30,2.91,KZ,scattered clouds
123,Atambua,-9.1061,124.8925,83.35,68,58,1.66,ID,broken clouds
124,Maldonado,-34.6667,-54.9167,76.39,91,4,6.71,UY,clear sky
125,Hoima,1.4356,31.3436,65.03,50,100,1.95,UG,overcast clouds
126,Monrovia,6.3005,-10.7969,76.77,83,39,5.99,LR,scattered clouds
127,Santa Fe,-31.6333,-60.7,66.67,73,100,9.01,AR,light rain
128,Pingliang,35.5392,106.6861,26.02,81,10,2.98,CN,clear sky
129,Kilindoni,-7.9139,39.6668,79.02,78,87,6.29,TZ,light rain
130,Mwanza,-2.5167,32.9,69.08,83,100,10.51,TZ,light rain
131,Bethel,41.3712,-73.414,42.82,53,0,1.01,US,clear sky
132,Sosnovoborsk,56.1325,93.3589,4.62,88,100,7.23,RU,overcast clouds
133,Ulladulla,-35.35,150.4667,73.87,64,10,7.45,AU,clear sky
134,Youkounkoun,12.5333,-13.1333,76.08,29,28,0.81,GN,scattered clouds
135,Alofi,-19.0595,-169.9187,80.49,74,5,2.3,NU,clear sky
136,Nyanguge,-2.55,33.2,70.27,77,100,7.23,TZ,light rain
137,Mossendjo,-2.9506,12.7261,69.91,100,100,1.88,CG,overcast clouds
138,Nalut,30.3333,10.85,43.5,62,6,7.96,LY,clear sky
139,Waingapu,-9.6567,120.2641,84.67,71,71,2.48,ID,broken clouds
140,Yar-Sale,66.8333,70.8333,-17.79,100,73,3.42,RU,broken clouds
