City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nanortalik,GL,23.14,overcast clouds,60.1432,-45.2371,
1,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,
2,Rikitea,PF,77.92,broken clouds,-23.1203,-134.9692,
3,Kapaa,US,80.58,light rain,22.0752,-159.319,
4,Onomichi,JP,49.89,clear sky,34.4167,133.2,
5,Comodoro Rivadavia,AR,55.26,clear sky,-45.8667,-67.5,
6,Mataura,NZ,64.47,few clouds,-46.1927,168.8643,
7,Bredasdorp,ZA,61.92,overcast clouds,-34.5322,20.0403,
9,Zhuhai,CN,65.05,few clouds,22.2769,113.5678,
10,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,
11,New Norfolk,AU,77.67,clear sky,-42.7826,147.0587,
12,Kavieng,PG,84.87,light rain,-2.5744,150.7967,
13,Marawi,PH,73.65,overcast clouds,7.9986,124.2928,
14,San Patricio,US,62.58,clear sky,28.017,-97.5169,
15,Avarua,CK,73.45,heavy intensity rain,-21.2078,-159.775,
16,Busselton,AU,63.05,overcast clouds,-33.65,115.3333,
17,Cape Town,ZA,64.81,clear sky,-33.9258,18.4232,
18,Bluff,NZ,64.8,few clouds,-46.6,168.3333,
19,Vaini,TO,86.16,light rain,-21.2,-175.2,
20,Vila Franca Do Campo,PT,56.19,overcast clouds,37.7167,-25.4333,
22,Cockburn Town,TC,80.01,clear sky,21.4612,-71.1419,
23,Meulaboh,ID,77.23,overcast clouds,4.1363,96.1285,
24,Okoneshnikovo,RU,9.59,overcast clouds,54.8377,75.0834,
26,Korla,CN,16.61,few clouds,41.7597,86.1469,
27,Vestmannaeyjar,IS,43.38,overcast clouds,63.4427,-20.2734,
28,Castro,BR,67.1,overcast clouds,-24.7911,-50.0119,
29,Bedele,ET,50.72,overcast clouds,8.456,36.353,
30,Torbay,CA,42.58,overcast clouds,47.6666,-52.7314,
31,Sawakin,SD,80.31,few clouds,19.1059,37.3321,
33,Kasungu,MW,70.63,clear sky,-13.0333,33.4833,
34,Mangaratiba,BR,72.46,overcast clouds,-22.9597,-44.0406,
35,Merauke,ID,79.63,overcast clouds,-8.4667,140.3333,
36,Mehamn,NO,27.36,light snow,71.0357,27.8492,
37,Kajaani,FI,26.65,overcast clouds,64.2273,27.7285,
38,Mahebourg,MU,73.69,light rain,-20.4081,57.7,
39,Hermanus,ZA,62.91,overcast clouds,-34.4187,19.2345,
41,Los Llanos De Aridane,ES,62.35,overcast clouds,28.6585,-17.9182,
42,Ushuaia,AR,42.46,broken clouds,-54.8,-68.3,
44,Bonfim,BR,77.99,overcast clouds,3.0833,-59.95,
45,Kruisfontein,ZA,67.89,light rain,-34.0033,24.7314,
47,Punta Arenas,CL,46.51,broken clouds,-53.15,-70.9167,
48,Constitucion,CL,53.2,clear sky,-35.3333,-72.4167,
49,Kiruna,SE,25.72,overcast clouds,67.8557,20.2251,
50,Puerto Escondido,MX,79.57,clear sky,15.85,-97.0667,
51,Hobart,AU,78.03,few clouds,-42.8794,147.3294,
52,Tasiilaq,GL,32.04,overcast clouds,65.6145,-37.6368,
54,Tezu,IN,58.93,clear sky,27.9167,96.1667,
55,Forquilhinha,BR,73.63,few clouds,-28.7475,-49.4722,
56,Riyadh,SA,48.34,scattered clouds,24.6877,46.7219,
57,Belem De Sao Francisco,BR,80.83,overcast clouds,-8.7539,-38.9658,
58,Jeremie,HT,77.47,clear sky,18.65,-74.1167,
59,Sesheke,ZM,76.93,overcast clouds,-17.4759,24.2968,
60,Stephenville,US,53.92,clear sky,32.2207,-98.2023,
61,Sao Filipe,CV,74.66,overcast clouds,14.8961,-24.4956,
62,Ahuimanu,US,78.85,few clouds,21.4447,-157.8378,
63,Xudat,AZ,42.94,scattered clouds,41.631,48.681000000000004,
64,Namibe,AO,70.2,overcast clouds,-15.1961,12.1522,
65,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,
66,Port Hardy,CA,37.76,broken clouds,50.6996,-127.4199,
67,Kodiak,US,14.29,few clouds,57.79,-152.4072,
68,Mirabad,AF,48.79,clear sky,30.4362,61.8383,
69,Victoria,HK,67.24,clear sky,22.2855,114.1577,
70,Bubaque,GW,80.96,clear sky,11.2833,-15.8333,
71,Antibes,FR,49.69,clear sky,43.5624,7.1278,
72,Maroantsetra,MG,72.07,overcast clouds,-15.4333,49.7333,
73,Kalas,IN,68.18,scattered clouds,18.1667,74.8,
74,Hlotse,LS,59.76,light rain,-28.8718,28.045,
76,Upernavik,GL,5.61,overcast clouds,72.7868,-56.1549,
77,Nabire,ID,83.01,light rain,-3.3667,135.4833,
78,Lorengau,PG,84.58,moderate rain,-2.0226,147.2712,
79,Naze,JP,59.92,overcast clouds,28.3667,129.4833,
80,Esperance,AU,62.44,broken clouds,-33.8667,121.9,
81,Jamestown,US,39.72,clear sky,42.097,-79.2353,
82,Airai,TL,73.71,overcast clouds,-8.9266,125.4092,
83,Sioux Lookout,CA,30.58,scattered clouds,50.1001,-91.917,
84,Chumikan,RU,7.75,overcast clouds,54.7183,135.315,
85,Butaritari,KI,82.49,scattered clouds,3.0707,172.7902,
86,Albany,US,40.8,clear sky,42.6001,-73.9662,
87,Lethem,GY,78.15,overcast clouds,3.3803,-59.7968,
88,Umm Kaddadah,SD,68.85,clear sky,13.6017,26.6876,
89,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,
90,Asau,RO,38.39,overcast clouds,46.4333,26.4,
91,Bayan,CN,5.99,broken clouds,46.0833,127.4,
92,Macheng,CN,46.11,clear sky,31.1783,115.0319,
93,Atuona,PF,79.09,overcast clouds,-9.8,-139.0333,
94,Havre,FR,51.57,overcast clouds,49.5833,0.3333,
95,Kaitangata,NZ,61.93,overcast clouds,-46.2817,169.8464,
97,Narrabri,AU,80.53,clear sky,-30.3167,149.7833,
98,Nanyang,CN,40.66,clear sky,32.9947,112.5328,
99,Banikoara,BJ,74.91,overcast clouds,11.2985,2.4386,
100,Maniitsoq,GL,20.79,clear sky,65.4167,-52.9,
101,Ilulissat,GL,2.48,broken clouds,69.2167,-51.1,
102,Lebu,CL,52.88,scattered clouds,-37.6167,-73.65,
103,Dingle,PH,81.88,scattered clouds,10.9995,122.6711,
104,Laguna,US,51.91,light rain,38.421,-121.4238,
105,Houma,US,55.0,broken clouds,29.5958,-90.7195,
106,Hilo,US,77.11,scattered clouds,19.7297,-155.09,
108,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,
109,Isangel,VU,87.91,moderate rain,-19.55,169.2667,
110,Mandalgovi,MN,11.21,clear sky,45.7625,106.2708,
111,East London,ZA,71.96,overcast clouds,-33.0153,27.9116,
112,Jacareacanga,BR,74.52,light rain,-6.2222,-57.7528,
113,Naron,ES,51.67,few clouds,43.5167,-8.1528,
114,Yellowknife,CA,7.32,light snow,62.456,-114.3525,
115,Quatre Cocos,MU,73.51,few clouds,-20.2078,57.7625,
116,Te Anau,NZ,67.82,light rain,-45.4167,167.7167,
118,Sitka,US,28.71,overcast clouds,57.0531,-135.33,
119,Sept-Iles,CA,28.06,scattered clouds,50.2001,-66.3821,
120,Ambulu,ID,82.15,broken clouds,-8.345,113.6058,
122,Zharkent,KZ,27.37,scattered clouds,44.1628,80.0,
123,Atambua,ID,83.35,broken clouds,-9.1061,124.8925,
124,Maldonado,UY,76.39,clear sky,-34.6667,-54.9167,
125,Hoima,UG,65.03,overcast clouds,1.4356,31.3436,
126,Monrovia,LR,76.77,scattered clouds,6.3005,-10.7969,
127,Santa Fe,AR,66.67,light rain,-31.6333,-60.7,
128,Pingliang,CN,26.02,clear sky,35.5392,106.6861,
129,Kilindoni,TZ,79.02,light rain,-7.9139,39.6668,
130,Mwanza,TZ,69.08,light rain,-2.5167,32.9,
131,Bethel,US,42.82,clear sky,41.3712,-73.414,
132,Sosnovoborsk,RU,4.62,overcast clouds,56.1325,93.3589,
133,Ulladulla,AU,73.87,clear sky,-35.35,150.4667,
134,Youkounkoun,GN,76.08,scattered clouds,12.5333,-13.1333,
135,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,
136,Nyanguge,TZ,70.27,light rain,-2.55,33.2,
137,Mossendjo,CG,69.91,overcast clouds,-2.9506,12.7261,
138,Nalut,LY,43.5,clear sky,30.3333,10.85,
139,Waingapu,ID,84.67,broken clouds,-9.6567,120.2641,
141,Zhanaozen,KZ,22.26,clear sky,43.3,52.8,
145,Tura,IN,55.94,clear sky,25.5198,90.2201,
146,Ponta Do Sol,PT,63.72,scattered clouds,32.6667,-17.1,
147,Arraial Do Cabo,BR,74.98,overcast clouds,-22.9661,-42.0278,
148,Portland,US,43.99,broken clouds,45.5234,-122.6762,
149,Palauig,PH,82.31,overcast clouds,15.435,119.9045,
150,Mabopane,ZA,69.66,light rain,-25.4977,28.1007,
